energy_mev,dedx_mev_per_g_cm2
5.109989499961081e-04,1.116637961544198e+02
5.229016445938480e-04,1.108084720016895e+02
5.350815885650132e-04,1.099344048277776e+02
5.475452398769936e-04,1.090428924485884e+02
5.602992069228194e-04,1.081351833080339e+02
5.733502520246063e-04,1.072124780532736e+02
5.867052950191498e-04,1.062759310638301e+02
6.003714169271407e-04,1.053266519358301e+02
6.143558637072550e-04,1.043657069226738e+02
6.286660500981759e-04,1.033941203333141e+02
6.433095635502559e-04,1.024128758893050e+02
6.582941682481745e-04,1.014229180418727e+02
6.736278092276602e-04,1.004251532499973e+02
6.893186165880885e-04,9.942045122067526e+01
7.053749098033415e-04,9.840964611238840e+01
7.218052021324021e-04,9.739353770287579e+01
7.386182051338819e-04,9.637289252209908e+01
7.558228332844827e-04,9.534844495148714e+01
7.734282087058166e-04,9.432089829034396e+01
7.914436660008325e-04,9.329092579037780e+01
8.098787572037084e-04,9.225917165920984e+01
8.287432568435465e-04,9.122625203383430e+01
8.480471671280032e-04,9.019275592470677e+01
8.678007232455998e-04,8.915924613150753e+01
8.880143987934145e-04,8.812626013117182e+01
9.086989113296974e-04,8.709431093915643e+01
9.298652280568549e-04,8.606388794454939e+01
9.515245716360571e-04,8.503545771989164e+01
9.736884261381116e-04,8.400946480632562e+01
9.963685431320856e-04,8.298633247485365e+01
1.019576947915986e-03,8.196646346436184e+01
1.043325945893468e-03,8.095024069701050e+01
1.067628129097477e-03,7.993802797177378e+01
1.092496382867189e-03,7.893017063661642e+01
1.117943892680161e-03,7.792699623998013e+01
1.143984151142659e-03,7.692881516222945e+01
1.170630965144502e-03,7.593592122749195e+01
1.197898463179235e-03,7.494859229658775e+01
1.225801102835164e-03,7.396709084155219e+01
1.254353678461258e-03,7.299166450223862e+01
1.283571329010945e-03,7.202254662558323e+01
1.313469546069396e-03,7.105995678799923e+01
1.344064182066993e-03,7.010410130138527e+01
1.375371458684788e-03,6.915517370324378e+01
1.407407975455113e-03,6.821335523135653e+01
1.440190718563252e-03,6.727881528346840e+01
1.473737069853469e-03,6.635171186241541e+01
1.508064816045503e-03,6.543219200712288e+01
1.543192158164494e-03,6.452039220990025e+01
1.579137721192392e-03,6.361643882039526e+01
1.615920563942328e-03,6.272044843664408e+01
1.653560189164557e-03,6.183252828356299e+01
1.692076553886482e-03,6.095277657926812e+01
1.731490079994594e-03,6.008128288956998e+01
1.771821665062161e-03,5.921812847099844e+01
1.813092693429382e-03,5.836338660270017e+01
1.855325047541679e-03,5.751712290752783e+01
1.898541119552352e-03,5.667939566263546e+01
1.942763823194718e-03,5.585025609992385e+01
1.988016605931780e-03,5.502974869658989e+01
2.034323461387750e-03,5.421791145612276e+01
2.081708942070370e-03,5.341477617998840e+01
2.130198172388817e-03,5.262036873030515e+01
2.179816861974786e-03,5.183470928379011e+01
2.230591319314228e-03,5.105781257719973e+01
2.282548465696466e-03,5.028968814455648e+01
2.335715849488368e-03,4.953034054639062e+01
2.390121660740531e-03,4.877976959124589e+01
2.445794746134308e-03,4.803797054967136e+01
2.502764624276262e-03,4.730493436094660e+01
2.561061501350147e-03,4.658064783272502e+01
2.620716287131526e-03,4.586509383386241e+01
2.681760611377725e-03,4.515825148058073e+01
2.744226840597441e-03,4.446009631621662e+01
2.808148095212145e-03,4.377060048472804e+01
2.873558267117101e-03,4.308973289814448e+01
2.940492037651320e-03,4.241745939816707e+01
3.008984895985966e-03,4.175374291207993e+01
3.079073157941091e-03,4.109854360316157e+01
3.150793985240911e-03,4.045181901575350e+01
3.224185405217382e-03,3.981352421516041e+01
3.299286330972739e-03,3.918361192253727e+01
3.376136582012113e-03,3.856203264492130e+01
3.454776905355665e-03,3.794873480056455e+01
3.535248997143931e-03,3.734366483969634e+01
3.617595524744921e-03,3.674676736088826e+01
3.701860149377703e-03,3.615798522312527e+01
3.788087549261556e-03,3.557725965374489e+01
3.876323443305328e-03,3.500453035236283e+01
3.966614615347891e-03,3.443973559091268e+01
4.059008938963989e-03,3.388281230992101e+01
4.153555402846717e-03,3.333369621114976e+01
4.250304136782957e-03,3.279232184669608e+01
4.349306438231893e-03,3.225862270469608e+01
4.450614799524272e-03,3.173253129171007e+01
4.554282935694243e-03,3.121397921191528e+01
4.660365812959644e-03,3.070289724320429e+01
4.768919677866395e-03,3.019921541028209e+01
4.880002087110498e-03,2.970286305487070e+01
4.993671938055698e-03,2.921376890310465e+01
5.109989499961421e-03,2.873186113021684e+01
5.229016445938707e-03,2.825706742259450e+01
5.350815885649906e-03,2.778931503730162e+01
5.475452398770049e-03,2.732853085914445e+01
5.602992069228306e-03,2.687464145536169e+01
5.733502520245951e-03,2.642757312802004e+01
5.867052950191726e-03,2.598725196418967e+01
6.003714169271294e-03,2.555360388397484e+01
6.143558637071981e-03,2.512655468646911e+01
6.286660500981646e-03,2.470603009370909e+01
6.433095635502787e-03,2.429195579268735e+01
6.582941682481860e-03,2.388425747549823e+01
6.736278092276602e-03,2.348286087767104e+01
6.893186165880998e-03,2.308769181476212e+01
7.053749098032620e-03,2.269867621725496e+01
7.218052021323453e-03,2.231574016383487e+01
7.386182051338252e-03,2.193880991308970e+01
7.558228332844260e-03,2.156781193369242e+01
7.734282087057371e-03,2.120267293311708e+01
7.914436660008439e-03,2.084331988494193e+01
8.098787572036515e-03,2.048968005478662e+01
8.287432568435466e-03,2.014168102493147e+01
8.480471671279237e-03,1.979925071766874e+01
8.678007232455544e-03,1.946231741742591e+01
8.880143987933466e-03,1.913080979170962e+01
9.086989113296293e-03,1.880465691090926e+01
9.298652280567641e-03,1.848378826700177e+01
9.515245716360343e-03,1.816813379120056e+01
9.736884261381001e-03,1.785762387058145e+01
9.963685431319947e-03,1.755218936372825e+01
1.019576947915952e-02,1.725176161543098e+01
1.043325945893389e-02,1.695627247047329e+01
1.067628129097398e-02,1.666565428654166e+01
1.092496382867178e-02,1.637983994629123e+01
1.117943892680048e-02,1.609876286859755e+01
1.143984151142568e-02,1.582235701902670e+01
1.170630965144434e-02,1.555055691955415e+01
1.197898463179155e-02,1.528329765755882e+01
1.225801102835108e-02,1.502051489412280e+01
1.254353678461190e-02,1.476214487166190e+01
1.283571329010923e-02,1.450812442091543e+01
1.313469546069362e-02,1.425839096731716e+01
1.344064182066971e-02,1.401288253677530e+01
1.375371458684686e-02,1.377153776088389e+01
1.407407975454999e-02,1.353429588158727e+01
1.440190718563150e-02,1.330109675532249e+01
1.473737069853447e-02,1.307188085665872e+01
1.508064816045401e-02,1.284658928145550e+01
1.543192158164426e-02,1.262516374955995e+01
1.579137721192268e-02,1.240754660706243e+01
1.615920563942249e-02,1.219368082812813e+01
1.653560189164466e-02,1.198351001642498e+01
1.692076553886437e-02,1.177697840616297e+01
1.731490079994560e-02,1.157403086276414e+01
1.771821665062070e-02,1.137461288317752e+01
1.813092693429234e-02,1.117867059585622e+01
1.855325047541577e-02,1.098615076041166e+01
1.898541119552250e-02,1.079700076695915e+01
1.942763823194672e-02,1.061116863516992e+01
1.988016605931678e-02,1.042860301304245e+01
2.034323461387648e-02,1.024925317540737e+01
2.081708942070313e-02,1.007306902217771e+01
2.130198172388727e-02,9.900001076358006e+00
2.179816861974649e-02,9.730000481823048e+00
2.230591319314092e-02,9.563019000878651e+00
2.282548465696387e-02,9.399009011615551e+00
2.335715849488300e-02,9.237923505066256e+00
2.390121660740463e-02,9.079716082176329e+00
2.445794746134149e-02,8.924340950599504e+00
2.502764624276160e-02,8.771752921326113e+00
2.561061501349965e-02,8.621907405154516e+00
2.620716287131447e-02,8.474760409014152e+00
2.681760611377645e-02,8.330268532148860e+00
2.744226840597294e-02,8.188388962168908e+00
2.808148095211964e-02,8.049079470979486e+00
2.873558267116954e-02,7.912298410593487e+00
2.940492037651206e-02,7.778004708835985e+00
3.008984895985830e-02,7.646157864947376e+00
3.079073157940932e-02,7.516717945092142e+00
3.150793985240730e-02,7.389645577779788e+00
3.224185405217179e-02,7.264901949204342e+00
3.299286330972625e-02,7.142448798508194e+00
3.376136582011965e-02,7.022248412976683e+00
3.454776905355540e-02,6.904263623168443e+00
3.535248997143715e-02,6.788457797987176e+00
3.617595524744728e-02,6.674794839700148e+00
3.701860149377499e-02,6.563239178908036e+00
3.788087549261375e-02,6.453755769471170e+00
3.876323443305136e-02,6.346310083396563e+00
3.966614615347743e-02,6.240868105690184e+00
4.059008938963762e-02,6.137396329178607e+00
4.153555402846558e-02,6.035861749304060e+00
4.250304136782743e-02,5.936231858896720e+00
4.349306438231678e-02,5.838474642927888e+00
4.450614799524045e-02,5.742558573247569e+00
4.554282935693971e-02,5.648452603309845e+00
4.660365812959451e-02,5.556126162889138e+00
4.768919677866213e-02,5.465549152790436e+00
4.880002087110282e-02,5.376691939556585e+00
4.993671938055403e-02,5.289525350175049e+00
5.109989499961137e-02,5.204020666787113e+00
5.229016445938468e-02,5.120149621401838e+00
5.350815885649644e-02,5.037884390617277e+00
5.475452398769822e-02,4.957197590351086e+00
5.602992069228000e-02,4.878062270582820e+00
5.733502520245645e-02,4.800451910109814e+00
5.867052950191408e-02,4.724340411318670e+00
6.003714169270988e-02,4.649702094974177e+00
6.143558637071676e-02,4.576511695027274e+00
6.286660500981339e-02,4.504744353443835e+00
6.433095635502424e-02,4.434375615055652e+00
6.582941682481531e-02,4.365381422435188e+00
6.736278092276217e-02,4.297738110795328e+00
6.893186165880623e-02,4.231422402915480e+00
7.053749098032280e-02,4.166411404095205e+00
7.218052021323113e-02,4.102682597136369e+00
7.386182051337865e-02,4.040213837354985e+00
7.558228332843919e-02,3.978983347623623e+00
7.734282087057030e-02,3.918969713445265e+00
7.914436660008020e-02,3.860151878059460e+00
8.098787572036108e-02,3.802509137581457e+00
8.287432568434999e-02,3.746021136175102e+00
8.480471671278829e-02,3.690667861260015e+00
8.678007232455066e-02,3.636429638753709e+00
8.880143987932977e-02,3.583287128349069e+00
9.086989113295872e-02,3.531221318827750e+00
9.298652280567166e-02,3.480213523409802e+00
9.515245716359834e-02,3.430245375139963e+00
9.736884261380480e-02,3.381298822310871e+00
9.963685431319404e-02,3.333356123923499e+00
1.019576947915898e-01,3.286399845185019e+00
1.043325945893337e-01,3.240412853044304e+00
1.067628129097341e-01,3.195378311765194e+00
1.092496382867121e-01,3.151279678537644e+00
1.117943892679996e-01,3.108100699126858e+00
1.143984151142507e-01,3.065825403560406e+00
1.170630965144374e-01,3.024438101853426e+00
1.197898463179093e-01,2.983923379771814e+00
1.225801102835051e-01,2.944266094633429e+00
1.254353678461126e-01,2.905451371147260e+00
1.283571329010856e-01,2.867464597290429e+00
1.313469546069303e-01,2.830291420223001e+00
1.344064182066900e-01,2.793917742240451e+00
1.375371458684621e-01,2.758329716763670e+00
1.407407975454931e-01,2.723513744366384e+00
1.440190718563075e-01,2.689456468839821e+00
1.473737069853376e-01,2.656144773294494e+00
1.508064816045332e-01,2.623565776298906e+00
1.543192158164352e-01,2.591706828055040e+00
1.579137721192194e-01,2.560555506610451e+00
1.615920563942171e-01,2.530099614106777e+00
1.653560189164386e-01,2.500327173064526e+00
1.692076553886354e-01,2.471226422703956e+00
1.731490079994473e-01,2.442785815301887e+00
1.771821665061986e-01,2.414994012584308e+00
1.813092693429147e-01,2.387839882154603e+00
1.855325047541483e-01,2.361312493957303e+00
1.898541119552156e-01,2.335401116777209e+00
1.942763823194577e-01,2.310095214773791e+00
1.988016605931576e-01,2.285384444050781e+00
2.034323461387550e-01,2.261258649260858e+00
2.081708942070206e-01,2.237707860245427e+00
2.130198172388624e-01,2.214722288709368e+00
2.179816861974547e-01,2.192292324930841e+00
2.230591319313978e-01,2.170408534506090e+00
2.282548465696273e-01,2.149061655129307e+00
2.335715849488183e-01,2.128242593407615e+00
2.390121660740345e-01,2.107942421711261e+00
2.445794746134032e-01,2.088152375059119e+00
2.502764624276039e-01,2.068863848039670e+00
2.561061501349844e-01,2.050068391767621e+00
2.620716287131321e-01,2.031757710876353e+00
2.681760611377517e-01,2.013923660546450e+00
2.744226840597163e-01,1.996558243570570e+00
2.808148095211830e-01,1.979653607454939e+00
2.873558267116811e-01,1.963202041557798e+00
2.940492037651059e-01,1.947195974265156e+00
3.008984895985682e-01,1.931627970204245e+00
3.079073157940782e-01,1.916490727495055e+00
3.150793985240572e-01,1.901777075040434e+00
3.224185405217027e-01,1.887479969855182e+00
3.299286330972464e-01,1.873592494434653e+00
3.376136582011802e-01,1.860107854163374e+00
3.454776905355372e-01,1.847019374764234e+00
3.535248997143541e-01,1.834320499788786e+00
3.617595524744547e-01,1.822004788149254e+00
3.701860149377312e-01,1.810065911692853e+00
3.788087549261187e-01,1.798497652819012e+00
3.876323443304947e-01,1.787293902140147e+00
3.966614615347552e-01,1.776448656186600e+00
4.059008938963568e-01,1.765956015156405e+00
4.153555402846356e-01,1.755810180710503e+00
4.250304136782539e-01,1.746005453814073e+00
4.349306438231469e-01,1.736536232624600e+00
4.450614799523827e-01,1.727397010427330e+00
4.554282935693744e-01,1.718582373618727e+00
4.660365812959227e-01,1.710086999738550e+00
4.768919677865974e-01,1.701905655551137e+00
4.880002087110039e-01,1.694033195176468e+00
4.993671938055155e-01,1.686464558271559e+00
5.109989499960890e-01,1.679194768262690e+00
5.229016445938213e-01,1.672218930628974e+00
5.350815885649383e-01,1.665532231237679e+00
5.475452398769549e-01,1.659129934731750e+00
5.602992069227721e-01,1.653007382969850e+00
5.733502520245367e-01,1.647159993519266e+00
5.867052950191123e-01,1.641583258201923e+00
6.003714169270701e-01,1.636272741693716e+00
6.143558637071372e-01,1.631224080177313e+00
6.286660500981034e-01,1.626432980048500e+00
6.433095635502102e-01,1.621895216676116e+00
6.582941682481201e-01,1.617606633215512e+00
6.736278092275889e-01,1.613563139475423e+00
6.893186165880282e-01,1.609760710838089e+00
7.053749098031930e-01,1.606195387232347e+00
7.218052021322759e-01,1.602863272159372e+00
7.386182051337508e-01,1.599760531770675e+00
7.558228332843553e-01,1.596883393997856e+00
7.734282087056652e-01,1.594228147733582e+00
7.914436660007633e-01,1.591791142063140e+00
8.098787572035703e-01,1.589568785545874e+00
8.287432568434596e-01,1.587557545545722e+00
8.480471671278411e-01,1.585753947609991e+00
8.678007232454645e-01,1.584154574895478e+00
8.880143987932536e-01,1.582756067640902e+00
9.086989113295429e-01,1.581555122684631e+00
9.298652280566713e-01,1.580548493026551e+00
9.515245716359367e-01,1.579732987432912e+00
9.736884261379998e-01,1.579105470082900e+00
9.963685431318915e-01,1.578662860255649e+00
1.019576947915848e+00,1.578402132056350e+00
1.043325945893286e+00,1.578320314180055e+00
1.067628129097289e+00,1.578414489711772e+00
1.092496382867068e+00,1.578681795961364e+00
1.117943892679941e+00,1.579119424331768e+00
1.143984151142451e+00,1.579724620219013e+00
1.170630965144317e+00,1.580494682942498e+00
1.197898463179034e+00,1.581426965703968e+00
1.225801102834990e+00,1.582518875573638e+00
1.254353678461065e+00,1.583767873501885e+00
1.283571329010793e+00,1.585171474354946e+00
1.313469546069238e+00,1.586727246973078e+00
1.344064182066834e+00,1.588432814249616e+00
1.375371458684554e+00,1.590285853229420e+00
1.407407975454862e+00,1.592284095225207e+00
1.440190718563004e+00,1.594425325950290e+00
1.473737069853305e+00,1.596707385666302e+00
1.508064816045258e+00,1.599128169344488e+00
1.543192158164277e+00,1.601685626839234e+00
1.579137721192117e+00,1.604377763072509e+00
